Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
술자리,Noun,술자리 대신 '잡무' 모임 간다…2030의 '어드민 나이트',drinking get-together,"Instead of drinking get-togethers, they go to 'miscellaneous tasks' meetings... the 2030 generation's 'Admin Night'.",Pure Korean
대신,Noun,술자리 대신 '잡무' 모임 간다…2030의 '어드민 나이트',instead of,"Instead of drinking get-togethers, they go to 'miscellaneous tasks' meetings... the 2030 generation's 'Admin Night'.",대 (substituting) + 신 (body)
잡무,Noun,술자리 대신 '잡무' 모임 간다…2030의 '어드민 나이트',miscellaneous tasks,"Instead of drinking get-togethers, they go to 'miscellaneous tasks' meetings... the 2030 generation's 'Admin Night'.",잡 (miscellaneous) + 무 (task)
모임,Noun,술자리 대신 '잡무' 모임 간다…2030의 '어드민 나이트',gathering,"Instead of drinking get-togethers, they go to 'miscellaneous tasks' meetings... the 2030 generation's 'Admin Night'.",Pure Korean
어드민,Noun,술자리 대신 '잡무' 모임 간다…2030의 '어드민 나이트',Admin,"Instead of drinking get-togethers, they go to 'miscellaneous tasks' meetings... the 2030 generation's 'Admin Night'.",Pure Korean
나이트,Noun,술자리 대신 '잡무' 모임 간다…2030의 '어드민 나이트',Night,"Instead of drinking get-togethers, they go to 'miscellaneous tasks' meetings... the 2030 generation's 'Admin Night'.",Pure Korean
미루다,Verb,"혼자 미루던 잡무, 함께 모여 해치우는 ‘어드민 나이트’.",to put off,'Admin Night' is a gathering where people come together to tackle the miscellaneous tasks they used to put off alone.,Pure Korean
모이다,Verb,"혼자 미루던 잡무, 함께 모여 해치우는 ‘어드민 나이트’.",to gather,'Admin Night' is a gathering where people come together to tackle the miscellaneous tasks they used to put off alone.,Pure Korean
해치우다,Verb,"혼자 미루던 잡무, 함께 모여 해치우는 ‘어드민 나이트’.",to tackle,'Admin Night' is a gathering where people come together to tackle the miscellaneous tasks they used to put off alone.,Pure Korean
각자,Adverb,"함께 모여 각자 할 일을 처리하는 저녁 모임, ‘어드민 나이트(Admin Night)’가 2030세대 사이에서 유행하고 있다.",each,"'Admin Night,' an evening gathering where people come together to handle their individual tasks, is trending among the 2030 generation.",각 (each) + 자 (self)
처리,Noun,"함께 모여 각자 할 일을 처리하는 저녁 모임, ‘어드민 나이트(Admin Night)’가 2030세대 사이에서 유행하고 있다.",handling,"'Admin Night,' an evening gathering where people come together to handle their individual tasks, is trending among the 2030 generation.",처 (handle) + 리 (manage)
드,Noun,"함께 모여 각자 할 일을 처리하는 저녁 모임, ‘어드민 나이트(Admin Night)’가 2030세대 사이에서 유행하고 있다.",N/A (part of '어드민'),"'Admin Night,' an evening gathering where people come together to handle their individual tasks, is trending among the 2030 generation.",Pure Korean
민,Noun,"함께 모여 각자 할 일을 처리하는 저녁 모임, ‘어드민 나이트(Admin Night)’가 2030세대 사이에서 유행하고 있다.",N/A (part of '어드민'),"'Admin Night,' an evening gathering where people come together to handle their individual tasks, is trending among the 2030 generation.",Pure Korean
세대,Noun,"함께 모여 각자 할 일을 처리하는 저녁 모임, ‘어드민 나이트(Admin Night)’가 2030세대 사이에서 유행하고 있다.",generation,"'Admin Night,' an evening gathering where people come together to handle their individual tasks, is trending among the 2030 generation.",세 (generation) + 대 (generation)
유행,Noun,"함께 모여 각자 할 일을 처리하는 저녁 모임, ‘어드민 나이트(Admin Night)’가 2030세대 사이에서 유행하고 있다.",trend,"'Admin Night,' an evening gathering where people come together to handle their individual tasks, is trending among the 2030 generation.",유 (flow) + 행 (go)
퇴근,Noun,"퇴근 후 카페나 스터디룸, 친구 집 등에 모여 조용한 분위기 속에서 미뤄왔던 잡무를 함께 처리하는 방식이다.",leaving work,"This is a method where people gather after work at cafes, study rooms, friends' houses, etc., and collectively handle the pending miscellaneous tasks in a quiet atmosphere.",퇴 (retreat) + 근 (work)
스터디,Noun,"퇴근 후 카페나 스터디룸, 친구 집 등에 모여 조용한 분위기 속에서 미뤄왔던 잡무를 함께 처리하는 방식이다.",study,"This is a method where people gather after work at cafes, study rooms, friends' houses, etc., and collectively handle the pending miscellaneous tasks in a quiet atmosphere.",Pure Korean
룸,Noun,"퇴근 후 카페나 스터디룸, 친구 집 등에 모여 조용한 분위기 속에서 미뤄왔던 잡무를 함께 처리하는 방식이다.",room,"This is a method where people gather after work at cafes, study rooms, friends' houses, etc., and collectively handle the pending miscellaneous tasks in a quiet atmosphere.",Pure Korean
