Korean,Part of Speech,Example Sentence,English,Sentence Translation
펭귄,Noun,# 펭귄들의 재미있는 행진,penguin,# The penguins' fun parade
재미있다,Adjective,# 펭귄들의 재미있는 행진,fun,# The penguins' fun parade
행진,Noun,# 펭귄들의 재미있는 행진,parade,# The penguins' fun parade
남극,Noun,**남극에서 벌어지는 신나는 이야기**,Antarctica,**An exciting story unfolding in Antarctica**
벌어지다,Verb,**남극에서 벌어지는 신나는 이야기**,unfolding,**An exciting story unfolding in Antarctica**
신나다,Verb,**남극에서 벌어지는 신나는 이야기**,exciting,**An exciting story unfolding in Antarctica**
이야기,Noun,**남극에서 벌어지는 신나는 이야기**,story,**An exciting story unfolding in Antarctica**
옛날,Noun,"옛날 옛날 아주 먼 옛날, 남극에는 펭귄들이 살았습니다.",once upon a time,"Once upon a time, a very long time ago, penguins lived in Antarctica."
아주,Adverb,"옛날 옛날 아주 먼 옛날, 남극에는 펭귄들이 살았습니다.",very,"Once upon a time, a very long time ago, penguins lived in Antarctica."
멀다,Adjective,"옛날 옛날 아주 먼 옛날, 남극에는 펭귄들이 살았습니다.",distant,"Once upon a time, a very long time ago, penguins lived in Antarctica."
살다,Verb,"옛날 옛날 아주 먼 옛날, 남극에는 펭귄들이 살았습니다.",lived,"Once upon a time, a very long time ago, penguins lived in Antarctica."
눈,Noun,남극은 아주 춥고 눈이 많이 오는 곳입니다.,snow,Antarctica is a very cold place where a lot of snow falls.
많이,Adverb,남극은 아주 춥고 눈이 많이 오는 곳입니다.,a lot,Antarctica is a very cold place where a lot of snow falls.
오다,Verb,남극은 아주 춥고 눈이 많이 오는 곳입니다.,falls,Antarctica is a very cold place where a lot of snow falls.
곳,Noun,남극은 아주 춥고 눈이 많이 오는 곳입니다.,place,Antarctica is a very cold place where a lot of snow falls.
날씨,Noun,펭귄들은 추운 날씨를 아주 좋아합니다.,weather,Penguins really like cold weather.
좋아하다,Verb,펭귄들은 추운 날씨를 아주 좋아합니다.,like,Penguins really like cold weather.
왜냐하면,Adverb,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",because,"This is because penguins have a lot of feathers and body fat, so they don't feel the cold much."
털,Noun,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",feathers,"This is because penguins have a lot of feathers and body fat, so they don't feel the cold much."
많다,Adjective,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",a lot of,"This is because penguins have a lot of feathers and body fat, so they don't feel the cold much."
몸,Noun,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",body,"This is because penguins have a lot of feathers and body fat, so they don't feel the cold much."
지방,Noun,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",fat,"This is because penguins have a lot of feathers and body fat, so they don't feel the cold much."
추위,Noun,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",cold,"This is because penguins have a lot of feathers and body fat, so they don't feel the cold much."
잘,Adverb,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",much,"This is because penguins have a lot of feathers and body fat, so they don't feel the cold much."
느끼다,Verb,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",feel,"This is because penguins have a lot of feathers and body fat, so they don't feel the cold much."
때문,Noun,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",reason,"This is because penguins have a lot of feathers and body fat, so they don't feel the cold much."
함께,Adverb,펭귄들은 함께 모여 살면서 서로를 따뜻하게 해 줍니다.,together,"Penguins live together, gathering and keeping each other warm."
모이다,Verb,펭귄들은 함께 모여 살면서 서로를 따뜻하게 해 줍니다.,gathering,"Penguins live together, gathering and keeping each other warm."
서로,Noun,펭귄들은 함께 모여 살면서 서로를 따뜻하게 해 줍니다.,each other,"Penguins live together, gathering and keeping each other warm."
마을,Noun,펭귄 마을은 항상 활기차고 재미있었습니다.,village,The penguin village was always lively and fun.
항상,Adverb,펭귄 마을은 항상 활기차고 재미있었습니다.,always,Penguin Village was always lively and fun.
활기차다,Adjective,펭귄 마을은 항상 활기차고 재미있었습니다.,lively,Penguin Village was always lively and fun.
아기,Noun,펭귄 마을에는 아기 펭귄 뽀로로가 살았습니다.,baby,Baby penguin Pororo lived in Penguin Village.
뽀로로,Noun,펭귄 마을에는 아기 펭귄 뽀로로가 살았습니다.,Pororo,Baby penguin Pororo lived in Penguin Village.
호기심,Noun,뽀로로는 호기심이 많고 장난기 넘치는 펭귄이었습니다.,curiosity,Pororo was a curious and playful penguin.
장난,Noun,뽀로로는 호기심이 많고 장난기 넘치는 펭귄이었습니다.,playfulness,Pororo was a curious and playful penguin.
넘치다,Verb,뽀로로는 호기심이 많고 장난기 넘치는 펭귄이었습니다.,full of,Pororo was a curious and playful penguin.
매일,Adverb,뽀로로는 매일매일 새로운 것을 배우고 싶어 했습니다.,every day,Pororo wanted to learn new things every day.
것,Noun,뽀로로는 매일매일 새로운 것을 배우고 싶어 했습니다.,thing,Pororo wanted to learn new things every day.
배우다,Verb,뽀로로는 매일매일 새로운 것을 배우고 싶어 했습니다.,learn,Pororo wanted to learn new things every day.
날,Noun,"어느 날, 뽀로로는 엄마 펭귄에게 물었습니다.",day,"One day, Pororo asked his mommy penguin."
엄마,Noun,"어느 날, 뽀로로는 엄마 펭귄에게 물었습니다.",mommy,"One day, Pororo asked his mommy penguin."
왜,Adverb,"'엄마, 왜 우리는 항상 같은 곳에만 살아요?",why,"'Mommy, why do we always live in the same place?'"
같다,Adjective,"'엄마, 왜 우리는 항상 같은 곳에만 살아요?",same,"'Mommy, why do we always live in the same place?'"
있다,Adjective,다른 곳에는 뭐가 있을까요?',be,'What could there be in other places?'
대답,Noun,엄마 펭귄은 웃으면서 대답했습니다.,answer,Mommy penguin smiled and answered.
매년,Adverb,"'뽀로로야, 우리 펭귄들은 매년 긴 여행을 한단다.",every year,"'Pororo, we penguins go on a long journey every year.'"
길다,Adjective,"'뽀로로야, 우리 펭귄들은 매년 긴 여행을 한단다.",long,"'Pororo, we penguins go on a long journey every year.'"
여행,Noun,"'뽀로로야, 우리 펭귄들은 매년 긴 여행을 한단다.",journey,"'Pororo, we penguins go on a long journey every year.'"
하다,Verb,"'뽀로로야, 우리 펭귄들은 매년 긴 여행을 한단다.",go on,"'Pororo, we penguins go on a long journey every year.'"
알,Noun,우리는 알을 낳고 새끼를 키우기 위해 특별한 장소로 이동해.',egg,'We move to a special place to lay eggs and raise our young.'
낳다,Verb,우리는 알을 낳고 새끼를 키우기 위해 특별한 장소로 이동해.',lay,'We move to a special place to lay eggs and raise our young.'
새끼,Noun,우리는 알을 낳고 새끼를 키우기 위해 특별한 장소로 이동해.',young,'We move to a special place to lay eggs and raise our young.'
키우다,Verb,우리는 알을 낳고 새끼를 키우기 위해 특별한 장소로 이동해.',raise,'We move to a special place to lay eggs and raise our young.'
위하다,Verb,우리는 알을 낳고 새끼를 키우기 위해 특별한 장소로 이동해.',for the purpose of,'We move to a special place to lay eggs and raise our young.'
특별,Noun,우리는 알을 낳고 새끼를 키우기 위해 특별한 장소로 이동해.',special,'We move to a special place to lay eggs and raise our young.'
장소,Noun,우리는 알을 낳고 새끼를 키우기 위해 특별한 장소로 이동해.',place,'We move to a special place to lay eggs and raise our young.'
이동,Noun,우리는 알을 낳고 새끼를 키우기 위해 특별한 장소로 이동해.',move,'We move to a special place to lay eggs and raise our young.'
반짝이다,Verb,뽀로로는 눈을 반짝이며 물었습니다.,twinkle,"Pororo asked, his eyes twinkling."
정말,Adverb,'정말요?,really,'Really?'
가다,Verb,어디로 가는 거예요?',to go,Where are you going?
거,Noun,어디로 가는 거예요?',thing,Where are you going?
멀리,Adverb,엄마 펭귄은 '그곳은 아주 멀리 떨어진 곳이야. 우리는 그곳까지 걸어가야 해.'라고 말했습니다.,far away,"Mother penguin said, 'That place is very far away. We have to walk there.'"
떨어지다,Verb,엄마 펭귄은 '그곳은 아주 멀리 떨어진 곳이야. 우리는 그곳까지 걸어가야 해.'라고 말했습니다.,to be located,"Mother penguin said, 'That place is very far away. We have to walk there.'"
걸어가다,Verb,엄마 펭귄은 '그곳은 아주 멀리 떨어진 곳이야. 우리는 그곳까지 걸어가야 해.'라고 말했습니다.,to walk (to),"Mother penguin said, 'That place is very far away. We have to walk there.'"
말,Noun,엄마 펭귄은 '그곳은 아주 멀리 떨어진 곳이야. 우리는 그곳까지 걸어가야 해.'라고 말했습니다.,words,"Mother penguin said, 'That place is very far away. We have to walk there.'"
다음,Noun,"다음 날 아침, 펭귄들은 여행을 시작했습니다.",next,"The next morning, the penguins began their journey."
아침,Noun,"다음 날 아침, 펭귄들은 여행을 시작했습니다.",morning,"The next morning, the penguins began their journey."
시작,Noun,"다음 날 아침, 펭귄들은 여행을 시작했습니다.",start,"The next morning, the penguins began their journey."
줄,Noun,펭귄들은 줄을 맞춰서 천천히 걸어갔습니다.,line,The penguins walked slowly in a line.
