Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
영상,Noun,이번 영상에서는 현우 선생님과 경은 선생님이 국내에서 좋았던 여행지에 대해 이야기한다고 해요.,video,"I hear that in this video, teachers Hyunwoo and Kyungeun talk about great domestic travel spots.",Sino-Korean 影像: 影 shadow/image + 像 form/image
국내,Noun,사실은 국내 여행을 더 많이 가잖아요.,domestic,"In fact, we actually go on domestic trips a lot more.",Sino-Korean 國內: 國 country + 內 inside
기대,Noun,벌써부터 무슨 이야기를 할지 기대가 되는데요.,"expectation, anticipation",I'm already looking forward to what they'll talk about.,Sino-Korean 期待: 期 period/expect + 待 wait
궁금하다,Adjective,저 많은 영상이 궁금하시다면 TalkToMeInKorean.com 홈페이지로 놀러 오세요!,to be curious,"If you're curious about our many other videos, come visit the TalkToMeInKorean.com homepage!",Native Korean
해외,Noun,‘여행’ 하면 해외여행 많이 떠올리긴 하는데 사실은 국내 여행을 더 많이 가잖아요.,"abroad, overseas","When you think 'travel' you often think of overseas trips, but we actually go on domestic trips more.",Sino-Korean 海外: 海 sea + 外 outside
떠올리다,Verb,‘여행’ 하면 해외여행 많이 떠올리긴 하는데,"to bring to mind, recall","When you think 'travel,' you often bring overseas trips to mind...",Native Korean
여행지,Noun,그동안 다녔던 여행지 중에서 좋았던 곳들 좀 이야기해 볼까요?,travel destination,Shall we talk about some of the good travel spots you've been to?,"Sino-Korean: 旅行 (여행, travel) + 地 (지, place)"
관광지,Noun,사실은 관광지도 아닌 고흥이었어요.,tourist spot,It actually wasn't even a tourist spot — it was Goheung.,"Sino-Korean: 觀光 (관광, sightseeing) + 地 (지, place)"
출생지,Noun,제 출생지는 부산이에요.,birthplace,My birthplace is Busan.,"Sino-Korean: 出生 (출생, birth) + 地 (지, place)"
개발,Noun,관광지 개발이 될 거 같고,development,I think tourist-spot development will happen [there]...,Sino-Korean 開發: 開 open + 發 emit/develop
관광,Noun,이 도시는 관광으로 유명해요.,"tourism, sightseeing",This city is famous for tourism.,Sino-Korean 觀光: 觀 view + 光 light/scenery
충분히,Adverb,아직 충분히 안 생긴 느낌을 갖고 있고.,"sufficiently, enough",I still feel like there isn't quite enough [built] yet.,Sino-Korean 充分히: 充 fill + 分 portion + 히 (adverb suffix)
느낌,Noun,아직 충분히 안 생긴 느낌을 갖고 있고.,feeling,I still have the feeling that not enough has been built yet.,"Native Korean (from 느끼다, to feel)"
훨씬,Adverb,아직도 제주도는 제 생각에 훨씬 더 많이 개발될 거 같고,"much more, by far",I still think Jeju will develop a lot more [than now].,Native Korean
상태,Noun,그냥 이 상태로 쭉 가는 게 좋을 거 같아요.,"state, condition",I think it'd be good to just keep going as it is.,Sino-Korean 狀態: 狀 shape + 態 condition
더 이상,Adverb phrase,저는 더 이상 개발이 안 됐으면 좋겠어요.,"any further, any more",I wish it wouldn't be developed any further.,"Native 더 (more) + Sino-Korean 以上 (이상, or more)"
비교,Noun,5년 전과 지금만 비교를 해 봐도,comparison,Just comparing five years ago to now...,Sino-Korean 比較: 比 compare + 較 compare
숙소,Noun,5년 전에 갔을 때 숙소들하고 지금 갔을 때 숙소들이 완전 다르잖아요.,"accommodation, lodging","The lodgings from five years ago and the lodgings now are completely different, right?",Sino-Korean 宿所: 宿 lodge + 所 place
완전,Adverb,5년 전에 갔을 때 숙소들하고 지금 갔을 때 숙소들이 완전 다르잖아요.,"completely, totally","The lodgings from back then and now are completely different, right?",Sino-Korean 完全: 完 complete + 全 whole
결국,Adverb,결국 여행의 질을 결정하는 것 중에 숙소도 굉장히 중요한 부분인데.,"in the end, ultimately","In the end, among the things that determine the quality of a trip, accommodation is a really important part.",Sino-Korean 結局: 結 tie/conclude + 局 situation
질,Noun,결국 여행의 질을 결정하는 것 중에 숙소도 굉장히 중요한 부분인데.,quality,"In the end, among the things that determine the quality of a trip...",Sino-Korean 質 (quality)
결정하다,Verb,결국 여행의 질을 결정하는 것 중에 숙소도 굉장히 중요한 부분인데.,"to decide, determine","In the end, among the things that determine the quality of a trip...",Sino-Korean 決定: 決 decide + 定 fix
부분,Noun,숙소도 굉장히 중요한 부분인데.,"portion, part",Accommodation is a really important part [of it].,Sino-Korean 部分: 部 part + 分 divide
짧게,Adverb,"서울 근처에 여기저기 짧게 갈 수 있는 곳들 좋아하는데,","briefly, for a short time",I like places near Seoul where you can go for a short trip here and there.,"Native Korean (from 짧다, to be short)"
잠깐,Adverb,그래서 밤에 잠깐 나갔는데,"for a moment, briefly",So I went out for a bit at night.,Native Korean
남다,Verb,제 기억에 남는 여행지 한 곳은 (네.) 사실은 관광지도 아닌 고흥이었어요.,"to remain, be left","One place that stays in my memory was actually Goheung, not even a tourist spot.",Native Korean
전라남도,Proper Noun,"전라남도 고흥에... 남해, 남해안에 있어요.",South Jeolla Province,"It's in Jeollanam-do, Goheung... on the South Sea, the south coast.",Sino-Korean 全羅南道: 全羅 (Jeolla) + 南 south + 道 province
남해,Noun,"전라남도 고흥에... 남해, 남해안에 있어요.",South Sea (of Korea),"It's in Jeollanam-do, Goheung, on the South Sea, the south coast.",Sino-Korean 南海: 南 south + 海 sea
바닷가,Noun,바닷가가 보이고.,"seaside, seashore",You can see the seashore.,Native Korean: 바다 (sea) + 가 (edge/side)
친척,Noun,그냥 가족들하고 친척들하고 거기에서 무슨 가족 모임이 있어서 한 10년 전에 간 거 같아요.,relatives,"It was just that there was some kind of family gathering there with family and relatives, about 10 years ago.",Sino-Korean 親戚: 親 close + 戚 relative
모임,Noun,그냥 가족들하고 친척들하고 거기에서 무슨 가족 모임이 있어서 한 10년 전에 간 거 같아요.,gathering,There was some kind of family gathering there with family and relatives.,"Native Korean (from 모이다, to gather)"
어촌,Noun,갔는데 거기가 어촌이어서 정말 배 좀 있고 길거리에 가로등도 없어요.,fishing village,"I went, and since it was a fishing village, there really were quite a few boats, and there weren't even streetlights.",Sino-Korean 漁村: 漁 fishing + 村 village
길거리,Noun,길거리에 가로등도 없어요.,"street, roadway",There aren't even streetlights on the road.,Native Korean: 길 (road) + 거리 (street)
가로등,Noun,길거리에 가로등도 없어요.,streetlamp,There aren't even streetlights on the road.,Sino-Korean 街路燈: 街 street + 路 road + 燈 lamp
깜깜하다,Adjective,깜깜해요.,"to be pitch black, dark",It's pitch black.,Native Korean (expressive/mimetic word; standard form 캄캄하다)
하늘,Noun,"위에, 하늘에 별이 정말 과장 하나도 안 보태고 한 1,000개 보이는 거예요.",sky,"Up above, in the sky, no exaggeration at all, about 1,000 stars were visible.",Native Korean
과장,Noun,"위에, 하늘에 별이 정말 과장 하나도 안 보태고 한 1,000개 보이는 거예요.",exaggeration,"Up in the sky, no exaggeration at all, about 1,000 stars were visible.",Sino-Korean 誇張: 誇 boast + 張 stretch
별,Noun,"위에, 하늘에 별이 정말 과장 하나도 안 보태고 한 1,000개 보이는 거예요.",star,"Up in the sky, no exaggeration at all, about 1,000 stars were visible.",Native Korean
보태다,Verb,과장 하나도 안 보태고,to add (to something),without adding any exaggeration at all,Native Korean
별똥별,Noun,그날 저는 별똥별 떨어지는 거를 한 열 개 넘게 봤어요.,shooting star,"That day, I saw more than ten shooting stars fall.",Native Korean: 별 (star) + 똥 (dropping) + 별 (star)
떨어지다,Verb,그날 저는 별똥별 떨어지는 거를 한 열 개 넘게 봤어요.,to fall,"That day, I saw more than ten shooting stars fall.",Native Korean
넘다,Verb,그날 저는 별똥별 떨어지는 거를 한 열 개 넘게 봤어요.,"to exceed, go over","That day, I saw more than ten shooting stars fall.",Native Korean
호주,Proper Noun,제가 그거보다 더 많이 본 거는 딱 한 번 호주에 갔을 때였거든요.,Australia,"The only time I saw more than that was once, when I went to Australia.",Sino-Korean phonetic transliteration 濠洲
감동,Noun,"정말 깜깜한 바닷가에서 별똥별이 거의 1분에 하나씩 떨어지는 모습을 보고 정말 감동을 받았었는데,","sensation, being moved/touched","Watching shooting stars fall almost once a minute on a truly pitch-black beach, I was really moved...",Sino-Korean 感動: 感 feel + 動 move
한참,Noun/Adverb,"그날 정말 한참을, 그때 여름이었고 해서 춥지도 않고, 한참을 하늘만 보고 있었어요.","a while, quite a long time","That day I just stared at the sky for a really long while — it was summer, so it wasn't even cold.",Native Korean: 한 (one/whole) + 참 (a stretch/interval)
춥다,Adjective,"그때 여름이었고 해서 춥지도 않고,",to be cold,"It was summer, so it wasn't even cold...",Native Korean
어울리다,Verb,"오, 너무 안 어울리네요.","to suit, fit, match","Oh, that really doesn't suit you.",Native Korean
자연경관,Noun,뭔가 자연경관을 즐기지 않을 거 같아요.,"natural scenery, landscape",I feel like you don't really enjoy natural scenery.,Sino-Korean 自然景觀: 自然 nature + 景觀 scenery
즐기다,Verb,뭔가 자연경관을 즐기지 않을 거 같아요.,to enjoy,I feel like you don't really enjoy natural scenery.,Native Korean
과학적,Adjective/Noun,과학적으로 좋아하는 거잖아요.,scientific,"You like it in a scientific way, don't you?",Sino-Korean 科學的: 科學 science + 的 (adjectival suffix)
연구하다,Verb,"약간 연구하고 (네, 네.) 그런 거 좋아하는 거잖아요.","to research, study","You like researching that kind of thing a bit, don't you?",Sino-Korean 硏究: 硏 study/grind + 究 investigate
새벽,Noun,"저 고등학교 때 밤에 공부하다가 새벽에, 막 2시에 나와서","dawn, pre-dawn hours","Back in high school, I'd study at night and then around 2am come out...",Native Korean
별자리,Noun,별자리책이랑 막... 이렇게 비교해 보고 이런 거 진짜 좋아했거든요.,constellation,I really loved comparing it with a constellation book like this.,"Native Korean: 별 (star) + 자리 (seat, position)"
비교하다,Verb,별자리책이랑 막... 이렇게 비교해 보고 이런 거 진짜 좋아했거든요.,to compare,I really loved comparing it with a constellation book like this.,Sino-Korean 比較: 比 compare + 較 compare
쳐다보다,Verb,‘그냥 별이 너무 아름다워서 쳐다본다’라는 거는 정말 안 어울리시네요.,"to look up at, gaze at",'I just look up because the stars are so beautiful' really doesn't suit you.,Native Korean
기회,Noun,‘나중에 기회가 되면 별을 좀 많이 볼 수 있는 곳에 가 보고 싶다’라고 생각만 했지,"opportunity, chance","I only ever thought, 'if I get the chance later, I'd like to go somewhere I can see a lot of stars.'",Sino-Korean 機會: 機 moment + 會 meet
아예,Adverb,"별로, 아예 못 가 봤고요.","altogether, at all",Not really — I never actually got to go at all.,Native Korean
운,Noun,뭔가 쪼끔 날씨 운이 안 맞기도 하고,luck,"Somehow the weather luck is a bit off, among other things...","Sino-Korean 運 (luck, fortune)"
맞다,Verb,뭔가 쪼끔 날씨 운이 안 맞기도 하고,"to be right, match, line up","Somehow the weather luck doesn't quite line up, among other things...",Native Korean
만만하다,Adjective,만만하게 갈 수 있는 곳이 강원도잖아요.,to be easy/casual to handle,"Gangwon-do is the place you can easily/casually go to, right?",Native Korean
꽤,Adverb,그래서 저희는 꽤 자주 갔거든요.,"rather, fairly, quite",So we went there quite often.,Native Korean
느껴지다,Verb,"저는 근데 강원도가 제주도보다 더 편하다고 느껴지는 이유가 하나가 있는데,","to be felt, perceived",But there's one reason Gangwon-do feels more comfortable to me than Jeju.,"Native Korean (passive of 느끼다, to feel)"
비행기,Noun,공항에서 비행기를 타고 제주공항에 내리면,airplane,When you take a plane from the airport and land at Jeju airport...,Sino-Korean 飛行機: 飛 fly + 行 go + 機 machine
공항,Noun,공항에서 비행기를 타고 제주공항에 내리면,airport,When you take a plane from the airport and land at Jeju airport...,Sino-Korean 空港: 空 sky/air + 港 port
짜다,Verb,거기서 또 뭔가 계획을 짜서 차로 한 시간 정도 이동해서,"to put together (a plan), to weave",From there you also have to work out some plan and travel about an hour by car...,Native Korean
이동하다,Verb,거기서 또 뭔가 계획을 짜서 차로 한 시간 정도 이동해서,"to move, travel",From there you also have to work out some plan and travel about an hour by car...,Sino-Korean 移動: 移 shift + 動 move
간편하다,Adjective,훨씬 간편한 여행이 될 수 있어서,to be simple and convenient,...since it can be a much simpler trip,Sino-Korean 簡便: 簡 simple + 便 convenient
