Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
술자리,Noun,술자리 대신 '잡무' 모임 간다…2030의 '어드민 나이트',drinking gathering,"Instead of drinking gatherings, they go to 'mundane tasks' meetings... the 2030 generation's 'Admin Night'.",Pure Korean
대신,Noun,술자리 대신 '잡무' 모임 간다…2030의 '어드민 나이트',instead of,"Instead of drinking gatherings, they go to 'mundane tasks' meetings... the 2030 generation's 'Admin Night'.",代 (dae: replace) + 身 (sin: body/self)
잡무,Noun,술자리 대신 '잡무' 모임 간다…2030의 '어드민 나이트',mundane tasks,"Instead of drinking gatherings, they go to 'mundane tasks' meetings... the 2030 generation's 'Admin Night'.",雜 (jap: mixed/various) + 務 (mu: duty/task)
모임,Noun,술자리 대신 '잡무' 모임 간다…2030의 '어드민 나이트',meeting,"Instead of drinking gatherings, they go to 'mundane tasks' meetings... the 2030 generation's 'Admin Night'.",Pure Korean
어드민,Noun,술자리 대신 '잡무' 모임 간다…2030의 '어드민 나이트',admin,"Instead of drinking gatherings, they go to 'mundane tasks' meetings... the 2030 generation's 'Admin Night'.",Loanword from English 'admin'
나이트,Noun,술자리 대신 '잡무' 모임 간다…2030의 '어드민 나이트',night,"Instead of drinking gatherings, they go to 'mundane tasks' meetings... the 2030 generation's 'Admin Night'.",Loanword from English 'night'
미루다,Verb,"혼자 미루던 잡무, 함께 모여 해치우는 ‘어드민 나이트’.",putting off,An 'Admin Night' is where you gather together to clear the mundane tasks you were putting off alone.,Pure Korean
모이다,Verb,"혼자 미루던 잡무, 함께 모여 해치우는 ‘어드민 나이트’.",gather,An 'Admin Night' is where you gather together to clear the mundane tasks you were putting off alone.,Pure Korean
해치우다,Verb,"혼자 미루던 잡무, 함께 모여 해치우는 ‘어드민 나이트’.",clear,An 'Admin Night' is where you gather together to clear the mundane tasks you were putting off alone.,Pure Korean
각자,Adverb,"함께 모여 각자 할 일을 처리하는 저녁 모임, ‘어드민 나이트(Admin Night)’가 2030세대 사이에서 유행하고 있다.",individual,"The evening gathering where people gather to take care of their individual tasks, 'Admin Night,' is trending among the 2030 generation.",各 (gak: each) + 自 (ja: self)
처리,Noun,"함께 모여 각자 할 일을 처리하는 저녁 모임, ‘어드민 나이트(Admin Night)’가 2030세대 사이에서 유행하고 있다.",take care of,"The evening gathering where people gather to take care of their individual tasks, 'Admin Night,' is trending among the 2030 generation.",處 (cheo: deal with) + 理 (ri: manage)
드,Noun,"함께 모여 각자 할 일을 처리하는 저녁 모임, ‘어드민 나이트(Admin Night)’가 2030세대 사이에서 유행하고 있다.",(part of 'admin'),"The evening gathering where people gather to take care of their individual tasks, 'Admin Night,' is trending among the 2030 generation.",Loanword (part of '어드민')
민,Noun,"함께 모여 각자 할 일을 처리하는 저녁 모임, ‘어드민 나이트(Admin Night)’가 2030세대 사이에서 유행하고 있다.",(part of 'admin'),"The evening gathering where people gather to take care of their individual tasks, 'Admin Night,' is trending among the 2030 generation.",Loanword (part of '어드민')
세대,Noun,"함께 모여 각자 할 일을 처리하는 저녁 모임, ‘어드민 나이트(Admin Night)’가 2030세대 사이에서 유행하고 있다.",generation,"The evening gathering where people gather to take care of their individual tasks, 'Admin Night,' is trending among the 2030 generation.",世 (se: world/era) + 代 (dae: generation)
유행,Noun,"함께 모여 각자 할 일을 처리하는 저녁 모임, ‘어드민 나이트(Admin Night)’가 2030세대 사이에서 유행하고 있다.",trending,"The evening gathering where people gather to take care of their individual tasks, 'Admin Night,' is trending among the 2030 generation.",流 (ryu: flow/stream) + 行 (haeng: go/move)
퇴근,Noun,"퇴근 후 카페나 스터디룸, 친구 집 등에 모여 조용한 분위기 속에서 미뤄왔던 잡무를 함께 처리하는 방식이다.",after work,"It's a method where people gather at cafes, study rooms, friends' houses, etc. after work to quietly process the mundane tasks they had postponed.",退 (toe: retreat) + 勤 (geun: diligence/work)
스터디,Noun,"퇴근 후 카페나 스터디룸, 친구 집 등에 모여 조용한 분위기 속에서 미뤄왔던 잡무를 함께 처리하는 방식이다.",study,"It's a method where people gather at cafes, study rooms, friends' houses, etc. after work to quietly process the mundane tasks they had postponed.",Loanword from English 'study'
룸,Noun,"퇴근 후 카페나 스터디룸, 친구 집 등에 모여 조용한 분위기 속에서 미뤄왔던 잡무를 함께 처리하는 방식이다.",room,"It's a method where people gather at cafes, study rooms, friends' houses, etc. after work to quietly process the mundane tasks they had postponed.",Loanword from English 'room'
등,Noun,"퇴근 후 카페나 스터디룸, 친구 집 등에 모여 조용한 분위기 속에서 미뤄왔던 잡무를 함께 처리하는 방식이다.",etc.,"It's a method where people gather at cafes, study rooms, friends' houses, etc. after work to quietly process the mundane tasks they had postponed.",等 (deung: class/rank/etc.)
공과금,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",utility bills,"This name was given because it involves doing administrative mundane tasks together, such as paying utility bills, organizing insurance documents, and processing overdue emails.",公 (gong: public/official) + 課 (gwa: impose/tax) + 金 (geum: gold/money)
납부,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",paying,"This name was given because it involves doing administrative mundane tasks together, such as paying utility bills, organizing insurance documents, and processing overdue emails.",納 (nap: pay/receive) + 付 (bu: give/attach)
보험,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",insurance,"This name was given because it involves doing administrative mundane tasks together, such as paying utility bills, organizing insurance documents, and processing overdue emails.",保 (bo: protect/preserve) + 險 (heom: danger/risk)
서류,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",documents,"This name was given because it involves doing administrative mundane tasks together, such as paying utility bills, organizing insurance documents, and processing overdue emails.",書 (seo: book/write) + 類 (ryu: kind/category)
정리,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",organizing,"This name was given because it involves doing administrative mundane tasks together, such as paying utility bills, organizing insurance documents, and processing overdue emails.",整 (jeong: regulate/tidy) + 理 (ri: reason/manage)
밀리다,Verb,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",overdue,"This name was given because it involves doing administrative mundane tasks together, such as paying utility bills, organizing insurance documents, and processing overdue emails.",Pure Korean
이메일,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",emails,"This name was given because it involves doing administrative mundane tasks together, such as paying utility bills, organizing insurance documents, and processing overdue emails.",Loanword from English 'email'
행정,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",administrative,"This name was given because it involves doing administrative mundane tasks together, such as paying utility bills, organizing insurance documents, and processing overdue emails.",行 (haeng: conduct/do) + 政 (jeong: govern/politics)
붙다,Verb,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",given,"This name was given because it involves doing administrative mundane tasks together, such as paying utility bills, organizing insurance documents, and processing overdue emails.",Pure Korean
초,Noun,"어드민 나이트는 올해 초 월스트리트저널이 처음 조명한 이후, 틱톡과 인스타그램을 중심으로 빠르게 확산됐다.",earlier part,"After being first highlighted by the Wall Street Journal earlier this year, Admin Night quickly spread, centered around TikTok and Instagram.",初 (cho: first/beginning)
월스트리트저널,Noun,"어드민 나이트는 올해 초 월스트리트저널이 처음 조명한 이후, 틱톡과 인스타그램을 중심으로 빠르게 확산됐다.",Wall Street Journal,"After being first highlighted by the Wall Street Journal earlier this year, Admin Night quickly spread, centered around TikTok and Instagram.",Loanword from English 'Wall Street Journal'
조명,Noun,"어드민 나이트는 올해 초 월스트리트저널이 처음 조명한 이후, 틱톡과 인스타그램을 중심으로 빠르게 확산됐다.",highlighting,"Admin Night quickly spread, centered around TikTok and Instagram, after being first highlighted by the Wall Street Journal earlier this year.",照 (jo) illuminate + 明 (myeong) bright
틱톡,Noun,"어드민 나이트는 올해 초 월스트리트저널이 처음 조명한 이후, 틱톡과 인스타그램을 중심으로 빠르게 확산됐다.",TikTok,"Admin Night quickly spread, centered around TikTok and Instagram, after being first highlighted by the Wall Street Journal earlier this year.",Loanword (English 'TikTok')
인스타그램,Noun,"어드민 나이트는 올해 초 월스트리트저널이 처음 조명한 이후, 틱톡과 인스타그램을 중심으로 빠르게 확산됐다.",Instagram,"Admin Night quickly spread, centered around TikTok and Instagram, after being first highlighted by the Wall Street Journal earlier this year.",Loanword (English 'Instagram')
확산,Noun,"어드민 나이트는 올해 초 월스트리트저널이 처음 조명한 이후, 틱톡과 인스타그램을 중심으로 빠르게 확산됐다.",spread,"Admin Night quickly spread, centered around TikTok and Instagram, after being first highlighted by the Wall Street Journal earlier this year.",擴 (hwak) expand + 散 (san) scatter
에너지,Noun,"에너지 소모가 큰 술자리나 사교 모임 대신, 생산적이면서도 연결감을 원하는 젊은 세대의 새로운 사회적 모임 방식으로 자리 잡았다.",energy,"Instead of drinking gatherings or social meetings that consume a lot of energy, it has established itself as a new social gathering method for the younger generation who desire productive connections.",Loanword (English 'Energy')
소모,Noun,"에너지 소모가 큰 술자리나 사교 모임 대신, 생산적이면서도 연결감을 원하는 젊은 세대의 새로운 사회적 모임 방식으로 자리 잡았다.",consumption,"Instead of drinking gatherings or social meetings that consume a lot of energy, it has established itself as a new social gathering method for the younger generation who desire productive connections.",消 (so) disappear + 耗 (mo) waste
사교,Noun,"에너지 소모가 큰 술자리나 사교 모임 대신, 생산적이면서도 연결감을 원하는 젊은 세대의 새로운 사회적 모임 방식으로 자리 잡았다.",social (interaction),"Instead of drinking gatherings or social meetings that consume a lot of energy, it has established itself as a new social gathering method for the younger generation who desire productive connections.",交 (gyo) associate + 際 (je) relation
생산,Noun,"에너지 소모가 큰 술자리나 사교 모임 대신, 생산적이면서도 연결감을 원하는 젊은 세대의 새로운 사회적 모임 방식으로 자리 잡았다.",production,"Instead of drinking gatherings or social meetings that consume a lot of energy, it has established itself as a new social gathering method for the younger generation who desire productive connections.",生 (saeng) produce + 産 (san) produce
연결,Noun,"에너지 소모가 큰 술자리나 사교 모임 대신, 생산적이면서도 연결감을 원하는 젊은 세대의 새로운 사회적 모임 방식으로 자리 잡았다.",connection,"Instead of drinking gatherings or social meetings that consume a lot of energy, it has established itself as a new social gathering method for the younger generation who desire productive connections.",連 (yeon) connect + 結 (gyeol) tie
원하다,Verb,"에너지 소모가 큰 술자리나 사교 모임 대신, 생산적이면서도 연결감을 원하는 젊은 세대의 새로운 사회적 모임 방식으로 자리 잡았다.",to desire,"Instead of drinking gatherings or social meetings that consume a lot of energy, it has established itself as a new social gathering method for the younger generation who desire productive connections.",Pure Korean
