Korean,Part of Speech,Frequency,Example Sentence,English,Sentence Translation
서울,Noun,48,서울 구경해요 서울에서 즐거운 하루 안녕하세요! 서울에 오신 것을 환영합니다.,Seoul,Let's explore Seoul. Have a fun day in Seoul. Hello! Welcome to Seoul.
민수,Noun,14,제 친구 민수도 저에게 사진을 찍어 달라고 했어요.,Minsu,My friend Minsu also asked me to take pictures for him.
구경,Noun,12,서울 구경해요 서울에서 즐거운 하루 안녕하세요! 서울에 오신 것을 환영합니다.,sightseeing / exploring,Let's explore Seoul. Have a fun day in Seoul. Hello! Welcome to Seoul.
한국,Noun,9,한국 역사를 배울 때 꼭 나와요.,Korean,It definitely comes up when you learn Korean history.
광장,Noun,6,먼저 광화문 광장에 갑니다.,Plaza,"First, we go to Gwanghwamun Plaza."
경복궁,Noun,6,우리는 경복궁으로 갑니다.,Gyeongbokgung Palace,We go to Gyeongbokgung Palace.
남산,Noun,6,이제 남산으로 갑니다.,Namsan,Now we go to Namsan.
명동,Noun,5,저녁에는 명동에 갑니다.,Myeongdong,"In the evening, we go to Myeongdong."
광화문,Noun,4,먼저 광화문 광장에 갑니다.,Gwanghwamun,"First, we go to Gwanghwamun Plaza."
인사동,Noun,4,우리는 인사동으로 갑니다.,Insadong,We go to Insadong.
한강,Noun,4,마지막으로 한강에 갔어요.,Han River,"Finally, we went to the Han River."
멋지다,Adjective,3,,to be cool / wonderful,
전통,Noun,3,한국 전통 건축은 정말 멋있어요.,traditional,Korean traditional architecture is really wonderful.
시내,Noun,3,남산은 서울 시내를 한눈에 볼 수 있는 곳이에요.,city center / downtown,Namsan is a place where you can see the entire city of Seoul at a glance.
자물쇠,Noun,3,"사진을 많이 찍고, 우리는 사랑의 자물쇠가 있는 곳으로 갔어요.",lock,"We took a lot of pictures, and then we went to the place with the love locks."
디자인,Noun,3,다음 장소는 동대문 디자인 플라자 예요.,Design,The next place is Dongdaemun Design Plaza.
특별,Noun,3,DDP는 아주 특별한 건물이에요.,special,DDP is a very special building.
숙소,Noun,3,"밤이 깊어지고, 우리는 숙소로 돌아가기로 했어요.",accommodation / lodging,"As night fell, we decided to return to our accommodation."
환영,Noun,2,서울 구경해요 서울에서 즐거운 하루 안녕하세요! 서울에 오신 것을 환영합니다.,welcome,Let's explore Seoul. Have a fun day in Seoul. Hello! Welcome to Seoul.
이순신,Noun,2,광화문 광장에는 이순신 장군 동상도 있어요.,Yi Sun-sin,There is also a statue of Admiral Yi Sun-sin in Gwanghwamun Plaza.
장군,Noun,2,광화문 광장에는 이순신 장군 동상도 있어요.,Admiral,There is also a statue of Admiral Yi Sun-sin in Gwanghwamun Plaza.
동상,Noun,2,광화문 광장에는 이순신 장군 동상도 있어요.,statue,There is also a statue of Admiral Yi Sun-sin in Gwanghwamun Plaza.
궁궐,Noun,2,경복궁은 아주 아름다운 궁궐이에요.,palace,Gyeongbokgung is a very beautiful palace.
옛날,Noun,2,궁궐은 옛날에 왕이 살던 집이에요.,olden days / in the past,A palace is a house where kings lived in the olden days.
마당,Noun,2,문을 지나면 넓은 마당이 나와요.,courtyard / yard,"If you pass through the gate, a spacious courtyard appears."
멋있다,Adjective,2,한국 전통 건축은 정말 멋있어요.,to be wonderful / cool,Korean traditional architecture is really wonderful.
연못,Noun,2,저는 특히 연못을 좋아해요.,pond,I especially like the pond.
물고기,Noun,2,연못에는 물고기가 살고 있어요.,fish,Fish live in the pond.
유자,Noun,2,저는 따뜻한 유자차를 마셨어요.,yuzu,I drank warm yuzu tea.
한눈,Noun,2,남산은 서울 시내를 한눈에 볼 수 있는 곳이에요.,a glance,Namsan is a place where you can see the entire city of Seoul at a glance.
케이블카,Noun,2,우리는 케이블카를 타고 남산에 올라갔어요.,cable car,We took a cable car up Namsan Mountain.
도착,Noun,2,남산에 도착하면 서울 시내가 한눈에 보여요.,arrival,"When you arrive at Namsan Mountain, you can see the entire city of Seoul at a glance."
영원,Noun,2,우리의 사랑이 영원하기를 바라면서.,forever,Hoping our love lasts forever.
택시,Noun,2,"삼겹살을 다 먹고, 우리는 택시를 탔어요.",taxi,"After eating all the samgyeopsal, we took a taxi."
켜다,Verb,2,불빛이 많이 켜져요.,to be lit,Many lights are turned on.
전시,Noun,2,DDP 안에는 여러 가지 전시를 해요.,exhibition,There are various exhibitions inside DDP.
그냥,Adverb,2,그냥 앉아서 이야기를 해요.,just,We just sit and talk.
종일,Noun,2,민수는 오늘 하루 종일 서울을 구경해서 아주 피곤했어요.,all day,Minsu was very tired because he sight-saw Seoul all day today.
안녕,Noun,1,서울 구경해요 서울에서 즐거운 하루 안녕하세요! 서울에 오신 것을 환영합니다.,hello,Let's sight-see Seoul. Have a fun day in Seoul. Hello! Welcome to Seoul.
햇빛,Noun,1,"햇빛이 따뜻하고, 바람도 시원해요.",sunlight,"The sunlight is warm, and the breeze is cool."
바람,Noun,1,"햇빛이 따뜻하고, 바람도 시원해요.",breeze,"The sunlight is warm, and the breeze is cool."
유명,Noun,1,이순신 장군은 아주 유명한 분이에요.,famous,Admiral Yi Sun-sin is a very famous person.
잠시,Adverb,1,"동상 앞에서 잠시 이야기를 나누고,",briefly,"After talking briefly in front of the statue,"
나무,Noun,1,마당에는 예쁜 꽃과 나무가 많아요.,tree,There are many beautiful flowers and trees in the yard.
냄새,Noun,1,저는 꽃 냄새를 맡는 것을 좋아해요.,smell,I like smelling flowers.
맡다,Verb,1,저는 꽃 냄새를 맡는 것을 좋아해요.,to smell,I like smelling flowers.
각각,Adverb,1,"각각 다른 방이 있고, 다른 이야기가 있어요.",respectively,There are different rooms and different stories respectively.
상상,Noun,1,상상해 보세요.,imagine,Please imagine.
천천히,Adverb,1,경복궁을 천천히 걸으면서 구경해요.,slowly,"We walk slowly around Gyeongbokgung Palace, sightseeing."
건축,Noun,1,한국 전통 건축은 정말 멋있어요.,architecture,Traditional Korean architecture is truly magnificent.
지붕,Noun,1,지붕의 색깔이 예뻐요.,roof,The color of the roof is pretty.
