Korean,Part of Speech,Example Sentence,English,Sentence Translation,Etymology
여유가 있다,Phrase,오늘은 오랜만에 여유가 있게 쉴 수 있는 날이다.,to have spare time/leisure,"Today is a day I can rest with some leisure for the first time in a while.","여유 (leisure/room) + 있다 (to exist)"
때마침,Adverb,때마침 이틀 전에 주문 해 놓은 잡지가 도착했다.,just in time/at the right moment,"Just in time, the magazine I ordered two days ago arrived.","Pure Korean adverb"
~길을 나서다,Phrase,잡지 한 권을 챙겨 길을 나섰다.,to set out/leave,"I packed a magazine and set out.","길 (road) + 나서다 (to step out/start)"
~기 마련이다/것 같다,Grammar,청소는 자주 해야 하는 것 같다.,it seems/it is natural that,"It seems like I should clean often.","Conjecture structure"
돈 낭비,Phrase,잡지 사는 게 돈 낭비라고 생각했는데.,waste of money,"I used to think buying magazines was a waste of money.","돈 (money) + 낭비 (waste)"
~지 모른다,Grammar,잡지 읽을 때가 얼마나 좋은지 모른다.,I don't know how [adjective] it is (emphasizing),"I don't know how wonderful it is to read magazines.","~지 (degree) + 모르다 (to not know)"
스트레스 해소법,Phrase,나만의 스트레스 해소법은 커피와 잡지이다.,stress relief method,"My own stress relief method is coffee and magazines.","스트레스 (stress) + 해소 (relief) + 법 (method)"
~아/어 보이다,Grammar,여전히 장사가 잘 되는 것 같네요.,"seems to/looks like,"It seems business is still doing well.","Conjecture based on observation"
연락을 하다/못하다,Phrase,친구들한테 연락하는 게 쉽지 않았다.,to contact/to be unable to contact,"It wasn't easy to contact my friends.","연락 (contact) + 하다/못하다"
~에 대한 자신감,Phrase,나에 대한 자신감이 없었다.,confidence in [something/self],"I had no confidence in myself.","~에 대한 (about/regarding) + 자신감 (confidence)"
~게 되다,Grammar,잡지에 관심을 가지기 시작했다.,"to come to/to become [state],"I started to have an interest in magazines.","Resultant change of state"
~고 싶다,Grammar,바로 사고 싶은 것이다.,"want to do,"It is [the thing] that I want to buy immediately.","Desire suffix"
~다 보니/되니,Grammar,나이가 들면서 성숙해지는 것이다.,"as one does.../as time passes,"As I get older, I become more mature.","Process or realization suffix"
반갑게 대하다,Phrase,항상 반갑게 대해준다.,to treat warmly/welcomingly,"[They] always treat me warmly.","반갑게 (happily/gladly) + 대하다 (to treat)"
수다를 떨다,Phrase,오랜만에 친구와 신나게 수다를 떨면서 스파게티와 피자를 먹었다.,to chat/gossip,"I ate spaghetti and pizza while happily chatting with my friend.","수다 (chatter) + 떨다 (to shake/emit)"
~니,Grammar,오랜만에 친구와 수다를 떠니 옛날 생각이 많이 났다.,"since/because (triggering a realization)","Chatting with a friend after such a long time brought back many memories.","-니 (suffix for discovery/cause)"
~었던,Grammar,잠시 잊고 있었던 옛날 생각이 많이 났다.,"that had been (past state)","Many memories from the past that I had temporarily forgotten came back.","Retrospective past tense modifier"
~줄은 몰랐다,Grammar,같은 추억을 가지고 있는 친구와 여전히 친구라는 사실이 이렇게 좋은 줄은 몰랐다.,"I didn't know (state)...","I didn't know it could feel this good to still be friends with someone who shares the same memories.","~줄 (state/fact) + 모르다 (to not know)"
근무 중,Phrase,소희는 현재 한 직장에서 2년 째 근무 중인데.,"in the middle of working/on duty","Sohee has been working at one company for two years.","근무 (work/service) + 중 (in the middle)"
~다고 했다,Grammar,이제 곧 승진을 한다고 했다.,"reported that...","[She] said that she is getting promoted soon.","~다고 (quoting particle) + 하다 (to say)"
결실을 맺다,Phrase,항상 열심히 일을 해서 좋은 결실을 맺었다.,"to bear fruit/yield results","She always worked hard and bore good fruit.","결실 (fruit/outcome) + 맺다 (to bear/tie)"
친 자매,Phrase,친 자매 같이 생각하는 소희가 승진을 한다고 하니 기분이 좋다.,"like my own sister","I am happy that Sohee, whom I think of like my own sister, is getting promoted.","친 (biological/real) + 자매 (sister)"
~으니,Grammar,오늘 하루 열심히 충전을 했으니 내일이 두렵지 않다.,"since/because (premise)","Since I recharged diligently today, I am not afraid of tomorrow.","-으니 (suffix for premise)"
오히려,Adverb,오히려 스물아홉 살에 열심히 일하는 당당한 여자가 될 것 같은 좋은 느낌이 든다.,"rather/on the contrary/actually","Actually, I have a good feeling that I will become a confident woman working hard at twenty-nine.","Pure Korean adverb"
당당한,Adjective,당당한 여자가 될 것 같은 좋은 느낌이 든다.,"confident/dignified","I have a good feeling that I will become a confident woman.","당당하다 (to be confident/dignified)"
~을 것이다,Grammar,내일은 더 긍정적인 자세로 일을 할 것이다.,"will do (future/intent)","I will work with a more positive attitude tomorrow.","Future/Intention suffix"
생각이 나다,Phrase,옛날 생각이 많이 났다.,"to recall/remember","Many memories from the past came to mind.","생각 (thought) + 나다 (to emerge/come out)"
여전히,Adverb,여전히 장사가 잘 되는 것 같네요.,"still/as before","It seems the business is still doing well.","Pure Korean adverb"
바르다,Verb,가장 좋아하는 바디로션을 발랐다.,"to apply/spread","I applied my favorite body lotion.","Pure Korean verb"
