Korean,Part of Speech,Example Sentence,English,Sentence Translation
술자리,Noun,술자리 대신 '잡무' 모임 간다…2030의 '어드민 나이트',,
대신,Noun,술자리 대신 '잡무' 모임 간다…2030의 '어드민 나이트',,
잡무,Noun,술자리 대신 '잡무' 모임 간다…2030의 '어드민 나이트',,
모임,Noun,술자리 대신 '잡무' 모임 간다…2030의 '어드민 나이트',,
어드민,Noun,술자리 대신 '잡무' 모임 간다…2030의 '어드민 나이트',,
나이트,Noun,술자리 대신 '잡무' 모임 간다…2030의 '어드민 나이트',,
미루다,Verb,"혼자 미루던 잡무, 함께 모여 해치우는 ‘어드민 나이트’.",,
모이다,Verb,"혼자 미루던 잡무, 함께 모여 해치우는 ‘어드민 나이트’.",,
해치우다,Verb,"혼자 미루던 잡무, 함께 모여 해치우는 ‘어드민 나이트’.",,
각자,Adverb,"함께 모여 각자 할 일을 처리하는 저녁 모임, ‘어드민 나이트(Admin Night)’가 2030세대 사이에서 유행하고 있다.",,
처리,Noun,"함께 모여 각자 할 일을 처리하는 저녁 모임, ‘어드민 나이트(Admin Night)’가 2030세대 사이에서 유행하고 있다.",,
드,Noun,"함께 모여 각자 할 일을 처리하는 저녁 모임, ‘어드민 나이트(Admin Night)’가 2030세대 사이에서 유행하고 있다.",,
민,Noun,"함께 모여 각자 할 일을 처리하는 저녁 모임, ‘어드민 나이트(Admin Night)’가 2030세대 사이에서 유행하고 있다.",,
세대,Noun,"함께 모여 각자 할 일을 처리하는 저녁 모임, ‘어드민 나이트(Admin Night)’가 2030세대 사이에서 유행하고 있다.",,
유행,Noun,"함께 모여 각자 할 일을 처리하는 저녁 모임, ‘어드민 나이트(Admin Night)’가 2030세대 사이에서 유행하고 있다.",,
퇴근,Noun,"퇴근 후 카페나 스터디룸, 친구 집 등에 모여 조용한 분위기 속에서 미뤄왔던 잡무를 함께 처리하는 방식이다.",,
스터디,Noun,"퇴근 후 카페나 스터디룸, 친구 집 등에 모여 조용한 분위기 속에서 미뤄왔던 잡무를 함께 처리하는 방식이다.",,
룸,Noun,"퇴근 후 카페나 스터디룸, 친구 집 등에 모여 조용한 분위기 속에서 미뤄왔던 잡무를 함께 처리하는 방식이다.",,
등,Noun,"퇴근 후 카페나 스터디룸, 친구 집 등에 모여 조용한 분위기 속에서 미뤄왔던 잡무를 함께 처리하는 방식이다.",,
공과금,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",,
납부,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",,
보험,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",,
서류,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",,
정리,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",,
밀리다,Verb,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",,
이메일,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",,
행정,Noun,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",,
붙다,Verb,"공과금 납부, 보험 서류 정리, 밀린 이메일 처리 등 보통 행정적 잡무를 함께 한다고 해서 이같은 이름이 붙었다.",,
초,Noun,"어드민 나이트는 올해 초 월스트리트저널이 처음 조명한 이후, 틱톡과 인스타그램을 중심으로 빠르게 확산됐다.",,
월스트리트저널,Noun,"어드민 나이트는 올해 초 월스트리트저널이 처음 조명한 이후, 틱톡과 인스타그램을 중심으로 빠르게 확산됐다.",,
조명,Noun,"어드민 나이트는 올해 초 월스트리트저널이 처음 조명한 이후, 틱톡과 인스타그램을 중심으로 빠르게 확산됐다.",,
틱톡,Noun,"어드민 나이트는 올해 초 월스트리트저널이 처음 조명한 이후, 틱톡과 인스타그램을 중심으로 빠르게 확산됐다.",,
