Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation,Part Of Speech
자리를 차지하다,to take/occupy a place or position,자리 (place/seat) + 를 (object particle) + 차지하다 (to occupy/take possession of),Phrase,그 자리를 16가지 알파벳 조합인 MBTI가 완벽하게 차지했죠.,"MBTI, a combination of 16 alphabets, perfectly took that place.",
살아가다,"to live on, to continue living",살다 (to live) + -아/어 가다 (auxiliary verb indicating continuation or progression),Phrase,"이제 MBTI는 단순한 인터넷 심리 테스트를 넘어, 한국 사회를 살아가는 데 필요한 필수적인 '디지털 명함'이자 사회적 바코드가 되었습니다.","Now, MBTI has gone beyond a simple online psychological test and has become an essential 'digital business card' and social barcode needed to live in Korean society.",
눈에 띄다,"to catch one's eye, to be noticeable/conspicuous","눈 (eye) + 에 (locative particle) + 띄다 (to be seen, to stand out)",Phrase,가장 눈에 띄는 변화는 2030 세대의 연애와 인간관계에서 나타납니다.,The most noticeable change appears in the dating and human relationships of the 2030 generation.,
자리에 앉다,to sit down (in a seat),자리 (place/seat) + 에 (locative particle) + 앉다 (to sit),Phrase,"요즘은 자리에 앉자마자 ""MBTI가 어떻게 되세요?""라고 묻는 것이 국룰(보편적인 규칙)이 되었습니다.","Nowadays, it has become the 'national rule' (universal rule) to ask ""What's your MBTI?"" as soon as you sit down.",
적어두다,to write down and keep/leave it for later,적다 (to write) + -아/어 두다 (auxiliary verb indicating an action done for future use or to leave something in a state),Phrase,데이팅 앱 프로필에는 자신의 MBTI를 적어두는 것이 기본 중의 기본입니다.,It is the absolute basic to write down one's MBTI on dating app profiles.,
기본 중의 기본,"the basic of basics, absolutely basic",기본 (basic/fundamental) + 중 (among/of) + 의 (possessive particle) + 기본 (basic/fundamental),Phrase,데이팅 앱 프로필에는 자신의 MBTI를 적어두는 것이 기본 중의 기본입니다.,It is the absolute basic to write down one's MBTI on dating app profiles.,
차단해 버리다,to completely block out/off,"차단하다 (to block/cut off) + -아/어 버리다 (auxiliary verb indicating completion of an action, sometimes with a nuance of regret or thoroughness)",Phrase,"감정적인 'F' 성향의 사람만 연락 주세요""라며 처음부터 자신과 맞지 않을 것 같은 유형을 차단해 버리는 사람들도 많습니다.","There are also many people who block out types that they think won't suit them from the start, saying things like, ""Please only contact me if you're an emotional 'F' type.""",
겪어보다,"to experience and see/try, to go through (something)",겪다 (to experience/undergo) + -아/어 보다 (auxiliary verb indicating trying an action or experiencing something),Phrase,"사람을 깊게 겪어보고 판단하기보다는, 4개의 알파벳을 통해 상대방과의 궁합을 미리 계산하는 것이죠.","Rather than deeply experiencing and judging a person, they calculate compatibility with the other person in advance through four alphabets.",
트렌드에 민감하다,to be sensitive to trends,트렌드 (trend) + 에 (locative/dative particle) + 민감하다 (to be sensitive),Phrase,트렌드에 가장 민감한 마케팅 시장도 이 열풍을 놓치지 않았습니다.,"The marketing market, most sensitive to trends, also did not miss this craze.",
열풍을 놓치다,to miss a craze/fever,열풍 (hot wind/craze/fever) + 을 (object particle) + 놓치다 (to miss/lose),Phrase,트렌드에 가장 민감한 마케팅 시장도 이 열풍을 놓치지 않았습니다.,"The marketing market, most sensitive to trends, also did not miss this craze.",
찾아보다,"to look for and see/try, to search for",찾다 (to find/look for) + -아/어 보다 (auxiliary verb indicating trying an action or experiencing something),Phrase,요즘 서울의 핫플레이스인 홍대 거리나 성수동에 가보면 MBTI를 활용한 가게들을 쉽게 찾아볼 수 있습니다.,"If you go to Hongdae Street or Seongsu-dong, hot spots in Seoul these days, you can easily find stores utilizing MBTI.",
마련되어 있다,to be prepared/arranged/provided,마련하다 (to prepare/arrange) + -되다 (passive suffix) + -어 있다 (auxiliary verb indicating a state of being),Phrase,"예를 들어, 홍대의 한 캡슐 운세 뽑기 가게에는 16개의 MBTI 유형별로 기계가 따로 마련되어 있습니다.","For example, at a capsule fortune-telling machine shop in Hongdae, machines are separately prepared for each of the 16 MBTI types.",
불티나게 팔리다,"to sell like hotcakes, to sell incredibly fast",불티 (spark) + 나다 (to come out/occur) + 게 (adverbial suffix) + 팔리다 (to be sold) - literally 'to be sold in a way that sparks fly',Phrase,"편의점에서는 네 캔을 사면 알파벳을 조합할 수 있는 'MBTI 맥주'가 불티나게 팔렸고, 은행들은 고객의 성향에 맞춰 소비 패턴을 분석해 주는 'MBTI 맞춤형 적금'까지 출시했습니다.","At convenience stores, 'MBTI beer' (where you can combine alphabets when buying four cans) sold like hotcakes, and banks even launched 'MBTI customized savings products' that analyze customer spending patterns according to their tendencies.",
지갑을 열다,"to open one's wallet, to spend money",지갑 (wallet) + 을 (object particle) + 열다 (to open),Phrase,바야흐로 소비자의 지갑을 열게 만드는 가장 강력한 키워드가 된 것입니다.,It has truly become the most powerful keyword to make consumers open their wallets.,
