Korean,English,Etymology,Part of Speech,Example Sentence,Sentence Translation
문제가 생기다,A problem arises/occurs,문제 (problem) + 생기다 (to arise/come into existence),Phrase,"어느 날, 숲속에 큰 문제가 생겼어요.","One day, a big problem occurred in the forest."
힘을 합치다,To join forces / To pool strength,힘 (strength/power) + 합치다 (to combine/unite),Phrase,요정들은 모두 힘을 합쳐 숲을 구할 방법을 찾기로 했어요.,All the fairies decided to join forces to find a way to save the forest.
아이디어를 내다,To come up with an idea / To suggest an idea,아이디어 (idea) + 내다 (to put out/produce),Phrase,한 요정이 아이디어를 냈어요.,One fairy came up with an idea.
여행을 시작하다,To start a journey/trip,여행 (journey/trip) + 시작하다 (to begin/start),Phrase,그래서 요정들은 숲의 정령을 찾아 긴 여행을 시작했어요.,So the fairies started a long journey to find the forest spirit.
길을 안내하다,To guide the way / To show the way,길 (road/way) + 안내하다 (to guide/inform),Phrase,"다람쥐는 요정들에게 맛있는 열매를 주었고, 토끼는 길을 안내해 주었어요.","The squirrel gave the fairies delicious berries, and the rabbit guided the way."
도움을 받다,To receive help / To get help,도움 (help/aid) + 받다 (to receive/get),Phrase,요정들은 동물들의 도움을 받아 숲의 정령이 있는 곳으로 점점 더 가까이 갔어요.,"With the help of the animals, the fairies gradually got closer to where the forest spirit was."
깊은 한숨을 쉬다,To sigh deeply,깊은 (deep) + 한숨 (a sigh) + 쉬다 (to rest/take a breath),Phrase,숲의 정령은 깊은 한숨을 쉬며 말했어요.,The forest spirit sighed deeply and spoke.
마음이 아프다,To feel heartbroken / To be pained (emotionally),마음 (heart/mind) + 아프다 (to hurt/be sick),Phrase,요정들은 정령의 이야기를 듣고 마음이 아팠어요.,The fairies felt heartbroken after hearing the spirit's story.
걱정 마세요,Don't worry,걱정 (worry/concern) + 말다 (to stop/cease doing) + ~세요 (honorific imperative ending),Phrase,"“정령님, 걱정 마세요.","“Spirit, don't worry."
깨끗하게 청소하다,To clean thoroughly / To clean cleanly,깨끗하다 (to be clean) + ~게 (adverbial suffix) + 청소하다 (to clean),Phrase,그리고 저희도 숲을 깨끗하게 청소할 거예요.,And we will clean the forest thoroughly too.
~기로 결심하다,To decide to do (something),~기로 (suffix for decision/plan) + 결심 (decision/resolution) + 하다 (to do),Phrase,요정들은 모두 힘을 합쳐 숲을 다시 건강하게 만들기로 결심했어요.,All the fairies decided to join forces and make the forest healthy again.
웃음을 되찾다,To regain a smile / To find laughter again,웃음 (smile/laughter) + 되찾다 (to get back/regain),Phrase,숲의 정령도 다시 웃음을 되찾았어요.,The forest spirit also regained its smile.
계획을 세우다,To make a plan / To set up a plan,계획 (plan) + 세우다 (to set up/establish),Phrase,그래서 요정 여왕님은 특별한 계획을 세웠어요.,So the fairy queen made a special plan.
꿈속에 나타나다,To appear in a dream,꿈속 (in a dream) + 나타나다 (to appear/show up),Phrase,요정들은 밤에 사람들의 꿈속에 나타나 숲의 아름다움을 보여주기로 했어요.,"At night, the fairies decided to appear in people's dreams to show them the beauty of the forest."
꿈에서 깨어나다,To wake up from a dream,꿈 (dream) + ~에서 (from) + 깨어나다 (to wake up),Phrase,꿈에서 깨어난 사람들은 숲을 보호해야겠다는 생각을 하게 되었어요.,People who woke up from their dreams began to think that they should protect the forest.
정성껏 돌보다,To care for wholeheartedly / To look after sincerely,정성껏 (with utmost sincerity/care) + 돌보다 (to care for/look after),Phrase,소녀는 아기 새를 집으로 데려가 정성껏 돌봐주었어요.,The girl took the baby bird home and cared for it wholeheartedly.
선물을 주다,To give a gift,선물 (gift/present) + 주다 (to give),Phrase,요정 여왕님은 소녀에게 특별한 선물을 주기로 했어요.,The fairy queen decided to give a special gift to the girl.
씨앗을 심다,To plant a seed,씨앗 (seed) + 심다 (to plant),Phrase,"이 씨앗을 심으면, 숲을 치유하는 꽃이 필 거예요.","If you plant this seed, a flower that heals the forest will bloom."
물을 주다,To water / To give water,물 (water) + 주다 (to give),Phrase,소녀는 매일 씨앗에 물을 주고 정성껏 돌봤어요.,"Every day, the girl watered the seed and cared for it sincerely."
소중하게 생각하다,To value highly / To cherish / To consider precious,소중하다 (to be precious/valuable) + ~게 (adverbial suffix) + 생각하다 (to think/consider),Phrase,요정들은 사람들이 숲을 더 소중하게 생각하도록 돕고 싶었어요.,The fairies wanted to help people cherish the forest more.
숲,forest,Pure Korean,Noun,숲속 친구들과 요정의 비밀,The secret of the fairies and friends in the forest.
속,inside,Pure Korean,Noun,숲속 친구들과 요정의 비밀,The secret of the fairies and friends in the forest.
친구,friend,"親 (친: close, intimate) + 舊 (구: old, former)",Noun,숲속 친구들과 요정의 비밀,The secret of the fairies and friends in the forest.
요정,fairy,"妖 (요: bewitching, mysterious) + 精 (정: spirit, essence)",Noun,숲속 친구들과 요정의 비밀,The secret of the fairies and friends in the forest.
비밀,secret,"秘 (비: hide, keep secret) + 密 (밀: dense, secretive)",Noun,숲속 친구들과 요정의 비밀,The secret of the fairies and friends in the forest.
모두,everyone,Pure Korean,Noun,모두가 모르는 숲의 이야기,The story of the forest that no one knows.
모르다,not know,Pure Korean,Verb,모두가 모르는 숲의 이야기,The story of the forest that no one knows.
이야기,story,Pure Korean,Noun,모두가 모르는 숲의 이야기,The story of the forest that no one knows.
사람,person,Pure Korean,Noun,사람들은 보통 요정이 없다고 생각해요.,People usually think that fairies don't exist.
보통,usually,"普 (보: wide, universal) + 通 (통: pass through, common)",Adverb,사람들은 보통 요정이 없다고 생각해요.,People usually think that fairies don't exist.
없다,not exist,Pure Korean,Adjective,사람들은 보통 요정이 없다고 생각해요.,People usually think that fairies don't exist.
생각,"thought, idea",Pure Korean,Noun,사람들은 보통 요정이 없다고 생각해요.,People usually think that fairies don't exist.
하지만,"but, however",Pure Korean,Adverb,하지만 정말 그럴까요?,But is that really true?
정말,"really, truly","正 (정: right, proper, true)",Adverb,하지만 정말 그럴까요?,But is that really true?
깊다,deep,Pure Korean,Adjective,깊은 숲속에는 우리 눈에 보이지 않는 작은 친구들이 살고 있어요.,"In the deep forest, small friends that are invisible to our eyes live."
눈,eye,Pure Korean,Noun,깊은 숲속에는 우리 눈에 보이지 않는 작은 친구들이 살고 있어요.,"In the deep forest, small friends that are invisible to our eyes live."
보이다,"be seen, be visible",Pure Korean,Verb,깊은 숲속에는 우리 눈에 보이지 않는 작은 친구들이 살고 있어요.,"In the deep forest, small friends that are invisible to our eyes live."
작다,small,Pure Korean,Adjective,깊은 숲속에는 우리 눈에 보이지 않는 작은 친구들이 살고 있어요.,"In the deep forest, small friends that are invisible to our eyes live."
살다,live,Pure Korean,Verb,깊은 숲속에는 우리 눈에 보이지 않는 작은 친구들이 살고 있어요.,"In the deep forest, small friends that are invisible to our eyes live."
오늘,today,Pure Korean,Noun,오늘은 그 비밀스러운 이야기에 대해 알아볼 거예요.,"Today, we are going to learn about that mysterious story."
대하다,"be about, face","對 (대: face, confront, treat)",Verb,오늘은 그 비밀스러운 이야기에 대해 알아볼 거예요.,"Today, we are going to learn about that mysterious story."
알다,"know, find out",Pure Korean,Verb,오늘은 그 비밀스러운 이야기에 대해 알아볼 거예요.,"Today, we are going to learn about that mysterious story."
거,thing,Pure Korean,Noun,오늘은 그 비밀스러운 이야기에 대해 알아볼 거예요.,"Today, we are going to learn about that mysterious story."
옛날,"old days, past",Pure Korean,Noun,"옛날 옛날 아주 먼 옛날, 커다란 숲이 있었어요.","A long, long time ago, there was a big forest."
아주,very,Pure Korean,Adverb,"옛날 옛날 아주 먼 옛날, 커다란 숲이 있었어요.","A long, long time ago, there was a big forest."
멀다,far,Pure Korean,Adjective,"옛날 옛날 아주 먼 옛날, 커다란 숲이 있었어요.","A long, long time ago, there was a big forest."
있다,"exist, have",Pure Korean,Adjective,"옛날 옛날 아주 먼 옛날, 커다란 숲이 있었어요.","A long, long time ago, there was a big forest."
다람쥐,squirrel,Pure Korean,Noun,"이 숲에는 다람쥐, 토끼, 새, 그리고 곰 같은 동물들이 살았어요.","Squirrels, rabbits, birds, and animals like bears lived in this forest."
토끼,rabbit,Pure Korean,Noun,"이 숲에는 다람쥐, 토끼, 새, 그리고 곰 같은 동물들이 살았어요.","Squirrels, rabbits, birds, and animals like bears lived in this forest."
새,bird,Pure Korean,Noun,"이 숲에는 다람쥐, 토끼, 새, 그리고 곰 같은 동물들이 살았어요.","Squirrels, rabbits, birds, and animals like bears lived in this forest."
그리고,and,Pure Korean,Adverb,"이 숲에는 다람쥐, 토끼, 새, 그리고 곰 같은 동물들이 살았어요.","Squirrels, rabbits, birds, and animals like bears lived in this forest."
곰,bear,Pure Korean,Noun,"이 숲에는 다람쥐, 토끼, 새, 그리고 곰 같은 동물들이 살았어요.","Squirrels, rabbits, birds, and animals like bears lived in this forest."
같다,to be like,Pure Korean,Adjective,"이 숲에는 다람쥐, 토끼, 새, 그리고 곰 같은 동물들이 살았어요.","Squirrels, rabbits, birds, and animals like bears lived in this forest."
동물,animal,"動物 -> 動 (동: move, act) + 物 (물: thing, object)",Noun,"이 숲에는 다람쥐, 토끼, 새, 그리고 곰 같은 동물들이 살았어요.","Squirrels, rabbits, birds, and animals like bears lived in this forest."
특별,special,"特別 -> 特 (특: special, particular) + 別 (별: separate, distinct)",Noun,하지만 이 숲에는 특별한 비밀이 하나 더 있었답니다.,"However, this forest had one more special secret."
더,more,Pure Korean,Adverb,하지만 이 숲에는 특별한 비밀이 하나 더 있었답니다.,"However, this forest had one more special secret."
바로,precisely,Pure Korean,Adverb,바로 작은 요정들이 살고 있었다는 거예요.,It was precisely that tiny fairies lived there.
예쁘다,to be pretty,Pure Korean,Adjective,요정들은 아주 작고 예뻤어요.,The fairies were very small and pretty.
꽃잎,petal,Pure Korean,Noun,"꽃잎으로 만든 옷을 입고, 반짝이는 날개를 가지고 있었죠.",They wore clothes made of flower petals and had sparkling wings.
만들다,to make,Pure Korean,Verb,"꽃잎으로 만든 옷을 입고, 반짝이는 날개를 가지고 있었죠.",They wore clothes made of flower petals and had sparkling wings.
옷,clothes,Pure Korean,Noun,"꽃잎으로 만든 옷을 입고, 반짝이는 날개를 가지고 있었죠.",They wore clothes made of flower petals and had sparkling wings.
반짝이다,to sparkle,Pure Korean,Verb,"꽃잎으로 만든 옷을 입고, 반짝이는 날개를 가지고 있었죠.",They wore clothes made of flower petals and had sparkling wings.
날개,wing,Pure Korean,Noun,"꽃잎으로 만든 옷을 입고, 반짝이는 날개를 가지고 있었죠.",They wore clothes made of flower petals and had sparkling wings.
가지다,to have,Pure Korean,Verb,"꽃잎으로 만든 옷을 입고, 반짝이는 날개를 가지고 있었죠.",They wore clothes made of flower petals and had sparkling wings.
보다,to see,Pure Korean,Verb,"사람들은 요정을 볼 수 없었지만, 동물들은 요정들과 친구처럼 지냈어요.","People couldn't see the fairies, but animals got along with them like friends."
수,ability,Pure Korean,Noun,"사람들은 요정을 볼 수 없었지만, 동물들은 요정들과 친구처럼 지냈어요.","People couldn't see the fairies, but animals got along with them like friends."
지내다,to get along,Pure Korean,Verb,"사람들은 요정을 볼 수 없었지만, 동물들은 요정들과 친구처럼 지냈어요.","People couldn't see the fairies, but animals got along with them like friends."
날,day,Pure Korean,Noun,"어느 날, 숲속에 큰 문제가 생겼어요.","One day, a big problem arose in the forest."
크다,to be big,Pure Korean,Adjective,"어느 날, 숲속에 큰 문제가 생겼어요.","One day, a big problem arose in the forest."
문제,problem,"問題 -> 問 (문: ask, inquire) + 題 (제: topic, subject)",Noun,"어느 날, 숲속에 큰 문제가 생겼어요.","One day, a big problem arose in the forest."
생기다,to arise,Pure Korean,Verb,"어느 날, 숲속에 큰 문제가 생겼어요.","One day, a big problem arose in the forest."
나무,tree,Pure Korean,Noun,숲의 나무들이 점점 아프기 시작한 거예요.,The trees in the forest gradually started to get sick.
점점,gradually,Pure Korean,Adverb,숲의 나무들이 점점 아프기 시작한 거예요.,The trees in the forest gradually started to get sick.
아프다,to be sick,Pure Korean,Adjective,숲의 나무들이 점점 아프기 시작한 거예요.,The trees in the forest gradually started to get sick.
시작,start,"始作 -> 始 (시: begin, start) + 作 (작: make, do)",Noun,숲의 나무들이 점점 아프기 시작한 거예요.,The trees in the forest gradually started to get sick.
나뭇잎,leaf,Pure Korean,Noun,"나뭇잎은 노랗게 변하고, 나무는 힘이 없었어요.","The leaves turned yellow, and the trees had no strength."
