Korean,Part of Speech,Example Sentence,English,Sentence Translation
펭귄,Noun,# 펭귄들의 재미있는 행진,,
재미있다,Adjective,# 펭귄들의 재미있는 행진,,
행진,Noun,# 펭귄들의 재미있는 행진,,
남극,Noun,**남극에서 벌어지는 신나는 이야기**,,
벌어지다,Verb,**남극에서 벌어지는 신나는 이야기**,,
신나다,Verb,**남극에서 벌어지는 신나는 이야기**,,
이야기,Noun,**남극에서 벌어지는 신나는 이야기**,,
옛날,Noun,"옛날 옛날 아주 먼 옛날, 남극에는 펭귄들이 살았습니다.",,
아주,Adverb,"옛날 옛날 아주 먼 옛날, 남극에는 펭귄들이 살았습니다.",,
멀다,Adjective,"옛날 옛날 아주 먼 옛날, 남극에는 펭귄들이 살았습니다.",,
살다,Verb,"옛날 옛날 아주 먼 옛날, 남극에는 펭귄들이 살았습니다.",,
눈,Noun,남극은 아주 춥고 눈이 많이 오는 곳입니다.,,
많이,Adverb,남극은 아주 춥고 눈이 많이 오는 곳입니다.,,
오다,Verb,남극은 아주 춥고 눈이 많이 오는 곳입니다.,,
곳,Noun,남극은 아주 춥고 눈이 많이 오는 곳입니다.,,
날씨,Noun,펭귄들은 추운 날씨를 아주 좋아합니다.,,
좋아하다,Verb,펭귄들은 추운 날씨를 아주 좋아합니다.,,
왜냐하면,Adverb,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",,
털,Noun,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",,
많다,Adjective,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",,
몸,Noun,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",,
지방,Noun,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",,
추위,Noun,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",,
잘,Adverb,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",,
느끼다,Verb,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",,
때문,Noun,"왜냐하면 펭귄들은 털이 많고, 몸에 지방이 많아서 추위를 잘 느끼지 못하기 때문입니다.",,
함께,Adverb,펭귄들은 함께 모여 살면서 서로를 따뜻하게 해 줍니다.,,
모이다,Verb,펭귄들은 함께 모여 살면서 서로를 따뜻하게 해 줍니다.,,
서로,Noun,펭귄들은 함께 모여 살면서 서로를 따뜻하게 해 줍니다.,,
마을,Noun,펭귄 마을은 항상 활기차고 재미있었습니다.,,
항상,Adverb,펭귄 마을은 항상 활기차고 재미있었습니다.,,
활기차다,Adjective,펭귄 마을은 항상 활기차고 재미있었습니다.,,
아기,Noun,펭귄 마을에는 아기 펭귄 뽀로로가 살았습니다.,,
뽀로로,Noun,펭귄 마을에는 아기 펭귄 뽀로로가 살았습니다.,,
호기심,Noun,뽀로로는 호기심이 많고 장난기 넘치는 펭귄이었습니다.,,
장난,Noun,뽀로로는 호기심이 많고 장난기 넘치는 펭귄이었습니다.,,
넘치다,Verb,뽀로로는 호기심이 많고 장난기 넘치는 펭귄이었습니다.,,
매일,Adverb,뽀로로는 매일매일 새로운 것을 배우고 싶어 했습니다.,,
것,Noun,뽀로로는 매일매일 새로운 것을 배우고 싶어 했습니다.,,
배우다,Verb,뽀로로는 매일매일 새로운 것을 배우고 싶어 했습니다.,,
날,Noun,"어느 날, 뽀로로는 엄마 펭귄에게 물었습니다.",,
엄마,Noun,"어느 날, 뽀로로는 엄마 펭귄에게 물었습니다.",,
왜,Adverb,"'엄마, 왜 우리는 항상 같은 곳에만 살아요?",,
같다,Adjective,"'엄마, 왜 우리는 항상 같은 곳에만 살아요?",,
있다,Adjective,다른 곳에는 뭐가 있을까요?',,
대답,Noun,엄마 펭귄은 웃으면서 대답했습니다.,,
매년,Adverb,"'뽀로로야, 우리 펭귄들은 매년 긴 여행을 한단다.",,
길다,Adjective,"'뽀로로야, 우리 펭귄들은 매년 긴 여행을 한단다.",,
여행,Noun,"'뽀로로야, 우리 펭귄들은 매년 긴 여행을 한단다.",,
하다,Verb,"'뽀로로야, 우리 펭귄들은 매년 긴 여행을 한단다.",,
알,Noun,우리는 알을 낳고 새끼를 키우기 위해 특별한 장소로 이동해.',,
낳다,Verb,우리는 알을 낳고 새끼를 키우기 위해 특별한 장소로 이동해.',,
새끼,Noun,우리는 알을 낳고 새끼를 키우기 위해 특별한 장소로 이동해.',,
키우다,Verb,우리는 알을 낳고 새끼를 키우기 위해 특별한 장소로 이동해.',,
위하다,Verb,우리는 알을 낳고 새끼를 키우기 위해 특별한 장소로 이동해.',,
특별,Noun,우리는 알을 낳고 새끼를 키우기 위해 특별한 장소로 이동해.',,
장소,Noun,우리는 알을 낳고 새끼를 키우기 위해 특별한 장소로 이동해.',,
이동,Noun,우리는 알을 낳고 새끼를 키우기 위해 특별한 장소로 이동해.',,
반짝이다,Verb,뽀로로는 눈을 반짝이며 물었습니다.,,
정말,Adverb,'정말요?,,
가다,Verb,어디로 가는 거예요?',,
거,Noun,어디로 가는 거예요?',,
멀리,Adverb,엄마 펭귄은 '그곳은 아주 멀리 떨어진 곳이야. 우리는 그곳까지 걸어가야 해.'라고 말했습니다.,,
떨어지다,Verb,엄마 펭귄은 '그곳은 아주 멀리 떨어진 곳이야. 우리는 그곳까지 걸어가야 해.'라고 말했습니다.,,
걸어가다,Verb,엄마 펭귄은 '그곳은 아주 멀리 떨어진 곳이야. 우리는 그곳까지 걸어가야 해.'라고 말했습니다.,,
말,Noun,엄마 펭귄은 '그곳은 아주 멀리 떨어진 곳이야. 우리는 그곳까지 걸어가야 해.'라고 말했습니다.,,
다음,Noun,"다음 날 아침, 펭귄들은 여행을 시작했습니다.",,
아침,Noun,"다음 날 아침, 펭귄들은 여행을 시작했습니다.",,
시작,Noun,"다음 날 아침, 펭귄들은 여행을 시작했습니다.",,
줄,Noun,펭귄들은 줄을 맞춰서 천천히 걸어갔습니다.,,
맞추다,Verb,펭귄들은 줄을 맞춰서 천천히 걸어갔습니다.,,
천천히,Adverb,펭귄들은 줄을 맞춰서 천천히 걸어갔습니다.,,
부르다,Verb,이 행진을 펭귄들의 행진이라고 부릅니다.,,
처음,Noun,뽀로로는 처음으로 긴 여행을 하는 것이라서 너무 신이 났습니다.,,
너무,Adverb,뽀로로는 처음으로 긴 여행을 하는 것이라서 너무 신이 났습니다.,,
신,Noun,뽀로로는 처음으로 긴 여행을 하는 것이라서 너무 신이 났습니다.,,
나다,Verb,뽀로로는 처음으로 긴 여행을 하는 것이라서 너무 신이 났습니다.,,
뒤뚱뒤뚱,Adverb,뽀로로는 뒤뚱뒤뚱 걷는 친구 펭귄 크롱과 함께 걸었습니다.,,
친구,Noun,뽀로로는 뒤뚱뒤뚱 걷는 친구 펭귄 크롱과 함께 걸었습니다.,,
크다,Adjective,뽀로로는 뒤뚱뒤뚱 걷는 친구 펭귄 크롱과 함께 걸었습니다.,,
롱,Noun,뽀로로는 뒤뚱뒤뚱 걷는 친구 펭귄 크롱과 함께 걸었습니다.,,
빨리,Adverb,"'크롱아, 우리 빨리 가자!'",,
크롱크롱,Noun,크롱은 '크롱크롱!' 하고 대답하며 뽀로로를 따라갔습니다.,,
따라가다,Verb,크롱은 '크롱크롱!' 하고 대답하며 뽀로로를 따라갔습니다.,,
덮이다,Verb,펭귄들은 눈 덮인 길을 걸었습니다.,,
길,Noun,펭귄들은 눈 덮인 길을 걸었습니다.,,
넘어지다,Verb,"어떤 펭귄은 넘어지기도 하고, 어떤 펭귄은 미끄러지기도 했습니다.",,
미끄러지다,Verb,"어떤 펭귄은 넘어지기도 하고, 어떤 펭귄은 미끄러지기도 했습니다.",,
하지만,Adverb,하지만 펭귄들은 서로 도와주면서 계속 걸어갔습니다.,,
계속,Adverb,하지만 펭귄들은 서로 도와주면서 계속 걸어갔습니다.,,
힘들다,Adjective,뽀로로는 걷다가 힘들어서 잠시 쉬고 싶었습니다.,,
잠시,Adverb,뽀로로는 걷다가 힘들어서 잠시 쉬고 싶었습니다.,,
쉬다,Verb,뽀로로는 걷다가 힘들어서 잠시 쉬고 싶었습니다.,,
조금,Noun,"하지만 엄마 펭귄은 '뽀로로야, 조금만 더 힘내! 곧 도착할 거야.'라고 격려했습니다.",,
더,Adverb,"하지만 엄마 펭귄은 '뽀로로야, 조금만 더 힘내! 곧 도착할 거야.'라고 격려했습니다.",,
힘내다,Verb,"하지만 엄마 펭귄은 '뽀로로야, 조금만 더 힘내! 곧 도착할 거야.'라고 격려했습니다.",,
곧,Adverb,"하지만 엄마 펭귄은 '뽀로로야, 조금만 더 힘내! 곧 도착할 거야.'라고 격려했습니다.",,
도착,Noun,"하지만 엄마 펭귄은 '뽀로로야, 조금만 더 힘내! 곧 도착할 거야.'라고 격려했습니다.",,
격려,Noun,"하지만 엄마 펭귄은 '뽀로로야, 조금만 더 힘내! 곧 도착할 거야.'라고 격려했습니다.",,
중,Noun,여행 중에 펭귄들은 여러 가지 어려움을 겪었습니다.,,
가지,Noun,여행 중에 펭귄들은 여러 가지 어려움을 겪었습니다.,,
어려움,Noun,여행 중에 펭귄들은 여러 가지 어려움을 겪었습니다.,,
겪다,Verb,여행 중에 펭귄들은 여러 가지 어려움을 겪었습니다.,,
갑자기,Adverb,갑자기 눈보라가 몰아쳐서 앞이 잘 보이지 않았습니다.,,
눈보라,Noun,갑자기 눈보라가 몰아쳐서 앞이 잘 보이지 않았습니다.,,
몰아치다,Verb,갑자기 눈보라가 몰아쳐서 앞이 잘 보이지 않았습니다.,,
앞,Noun,갑자기 눈보라가 몰아쳐서 앞이 잘 보이지 않았습니다.,,
보이다,Verb,갑자기 눈보라가 몰아쳐서 앞이 잘 보이지 않았습니다.,,
어깨,Noun,펭귄들은 서로의 어깨를 잡고 길을 잃지 않도록 조심했습니다.,,
잃다,Verb,펭귄들은 서로의 어깨를 잡고 길을 잃지 않도록 조심했습니다.,,
조심,Noun,펭귄들은 서로의 어깨를 잡고 길을 잃지 않도록 조심했습니다.,,
또,Adverb,"또, 얼음이 깨져서 바다에 빠질 뻔한 펭귄도 있었습니다.",,
얼음,Noun,"또, 얼음이 깨져서 바다에 빠질 뻔한 펭귄도 있었습니다.",,
깨지다,Verb,"또, 얼음이 깨져서 바다에 빠질 뻔한 펭귄도 있었습니다.",,
바다,Noun,"또, 얼음이 깨져서 바다에 빠질 뻔한 펭귄도 있었습니다.",,
빠지다,Verb,"또, 얼음이 깨져서 바다에 빠질 뻔한 펭귄도 있었습니다.",,
뻔,Noun,"또, 얼음이 깨져서 바다에 빠질 뻔한 펭귄도 있었습니다.",,
다행히,Adverb,다행히 다른 펭귄들이 재빨리 구해 주어서 무사했습니다.,,
재빨리,Adverb,다행히 다른 펭귄들이 재빨리 구해 주어서 무사했습니다.,,
구하다,Verb,다행히 다른 펭귄들이 재빨리 구해 주어서 무사했습니다.,,
무사,Noun,다행히 다른 펭귄들이 재빨리 구해 주어서 무사했습니다.,,
걱정,Noun,"뽀로로는 걱정했지만, 친구들과 함께라서 용기를 낼 수 있었습니다.",,
용기,Noun,"뽀로로는 걱정했지만, 친구들과 함께라서 용기를 낼 수 있었습니다.",,
내다,Verb,"뽀로로는 걱정했지만, 친구들과 함께라서 용기를 낼 수 있었습니다.",,
수,Noun,"뽀로로는 걱정했지만, 친구들과 함께라서 용기를 낼 수 있었습니다.",,
밤,Noun,펭귄들은 밤에는 함께 모여서 잠을 잤습니다.,,
잠,Noun,펭귄들은 밤에는 함께 모여서 잠을 잤습니다.,,
자다,Verb,펭귄들은 밤에는 함께 모여서 잠을 잤습니다.,,
등,Noun,서로의 등을 기대고 추위를 피했습니다.,,
기대다,Verb,서로의 등을 기대고 추위를 피했습니다.,,
피하다,Verb,서로의 등을 기대고 추위를 피했습니다.,,
밤하늘,Noun,뽀로로는 밤하늘의 별을 보면서 신기해했습니다.,,
별,Noun,뽀로로는 밤하늘의 별을 보면서 신기해했습니다.,,
보다,Verb,뽀로로는 밤하늘의 별을 보면서 신기해했습니다.,,
와,Adverb,"'와, 별이 정말 많다!' 뽀로로가 말했습니다. 크롱은 옆에서 '크롱크롱!' 하고 뽀로로의 말에 동의했습니다.",,
옆,Noun,"'와, 별이 정말 많다!' 뽀로로가 말했습니다. 크롱은 옆에서 '크롱크롱!' 하고 뽀로로의 말에 동의했습니다.",,
'크롱크,Noun,"'와, 별이 정말 많다!' 뽀로로가 말했습니다. 크롱은 옆에서 '크롱크롱!' 하고 뽀로로의 말에 동의했습니다.",,
동의,Noun,"'와, 별이 정말 많다!' 뽀로로가 말했습니다. 크롱은 옆에서 '크롱크롱!' 하고 뽀로로의 말에 동의했습니다.",,
며칠,Noun,며칠 동안 펭귄들은 계속 걸었습니다.,,
동안,Noun,며칠 동안 펭귄들은 계속 걸었습니다.,,
드디어,Adverb,드디어 펭귄들은 목적지에 도착했습니다.,,
목적지,Noun,드디어 펭귄들은 목적지에 도착했습니다.,,
수많다,Adjective,그곳은 수많은 펭귄들이 모여 있는 넓은 땅이었습니다.,,
넓다,Adjective,그곳은 수많은 펭귄들이 모여 있는 넓은 땅이었습니다.,,
땅,Noun,그곳은 수많은 펭귄들이 모여 있는 넓은 땅이었습니다.,,
인사,Noun,"펭귄들은 서로 인사를 나누고, 반갑게 맞이했습니다.",,
나누다,Verb,"펭귄들은 서로 인사를 나누고, 반갑게 맞이했습니다.",,
만나다,Verb,뽀로로는 새로운 친구들을 많이 만났습니다.,,
위,Noun,"뽀로로는 친구들과 함께 눈 위에서 뛰어놀고, 미끄럼을 타면서 즐거운 시간을 보냈습니다.",,
뛰어놀다,Verb,"뽀로로는 친구들과 함께 눈 위에서 뛰어놀고, 미끄럼을 타면서 즐거운 시간을 보냈습니다.",,
미끄럼,Noun,"뽀로로는 친구들과 함께 눈 위에서 뛰어놀고, 미끄럼을 타면서 즐거운 시간을 보냈습니다.",,
타다,Verb,"뽀로로는 친구들과 함께 눈 위에서 뛰어놀고, 미끄럼을 타면서 즐거운 시간을 보냈습니다.",,
시간,Noun,"뽀로로는 친구들과 함께 눈 위에서 뛰어놀고, 미끄럼을 타면서 즐거운 시간을 보냈습니다.",,
보내다,Verb,"뽀로로는 친구들과 함께 눈 위에서 뛰어놀고, 미끄럼을 타면서 즐거운 시간을 보냈습니다.",,
지키다,Verb,뽀로로는 엄마 펭귄 옆에서 알을 따뜻하게 지켜 주었습니다.,,
아빠,Noun,뽀로로는 자기가 아빠가 된 것처럼 기뻤습니다.,,
되다,Verb,뽀로로는 자기가 아빠가 된 것처럼 기뻤습니다.,,
기쁘다,Adjective,뽀로로는 자기가 아빠가 된 것처럼 기뻤습니다.,,
작다,Adjective,"어느 날, 알에서 작은 아기 펭귄이 태어났습니다.",,
태어나다,Verb,"어느 날, 알에서 작은 아기 펭귄이 태어났습니다.",,
너무나,Adverb,뽀로로는 아기 펭귄을 보면서 너무나 행복했습니다.,,
행복,Noun,뽀로로는 아기 펭귄을 보면서 너무나 행복했습니다.,,
건강,Noun,뽀로로와 친구들은 아기 펭귄들이 건강하게 자라도록 돌보았습니다.,,
자라다,Verb,뽀로로와 친구들은 아기 펭귄들이 건강하게 자라도록 돌보았습니다.,,
돌보다,Verb,뽀로로와 친구들은 아기 펭귄들이 건강하게 자라도록 돌보았습니다.,,
따르다,Verb,아기 펭귄들은 뽀로로와 친구들을 따라서 뒤뚱뒤뚱 걸어 다녔습니다.,,
다니다,Verb,아기 펭귄들은 뽀로로와 친구들을 따라서 뒤뚱뒤뚱 걸어 다녔습니다.,,
노래,Noun,"뽀로로는 아기 펭귄들에게 재미있는 이야기를 해 주고, 노래를 불러 주었습니다.",,
흐르다,Verb,"시간이 흘러, 아기 펭귄들은 점점 더 커졌습니다.",,
점점,Adverb,"시간이 흘러, 아기 펭귄들은 점점 더 커졌습니다.",,
커지다,Verb,"시간이 흘러, 아기 펭귄들은 점점 더 커졌습니다.",,
이제,Adverb,이제 아기 펭귄들은 스스로 물고기를 잡을 수 있게 되었습니다.,,
스스로,Adverb,이제 아기 펭귄들은 스스로 물고기를 잡을 수 있게 되었습니다.,,
물고기,Noun,이제 아기 펭귄들은 스스로 물고기를 잡을 수 있게 되었습니다.,,
자랑,Noun,뽀로로는 아기 펭귄들이 자랑스러웠습니다.,,
힘,Noun,"펭귄들은 함께 힘을 합쳐서 겨울을 이겨내고, 아기 펭귄들을 잘 키워냈습니다.",,
합치다,Verb,"펭귄들은 함께 힘을 합쳐서 겨울을 이겨내고, 아기 펭귄들을 잘 키워냈습니다.",,
겨울,Noun,"펭귄들은 함께 힘을 합쳐서 겨울을 이겨내고, 아기 펭귄들을 잘 키워냈습니다.",,
